date,name,val/LogLoss,val/AUC,val/delta_AUC,test/AUC,test/delta_AUC,baseline
2026-05-08,baseline,0.22809796035289764,0.8642705082893372,-,0.841855,-,-
2026-05-08,20260508_per_token_ffn,0.22810348868370056,0.8648973703384399,+0.000627,0.842699,+0.000844,baseline
2026-05-11,20260510_timestamp_features,0.22583505511283875,0.8683660626411438,+0.00347,0.845006,+0.00231,per-token-ffn
2026-05-12,20260511_seq_timestamp_sideinfo,0.2261412888765335,0.8674910664558411,+0.00259,0.842158,-0.00054,per-token-ffn
2026-05-10,TAAC_focal_dynamic,0.25679969787597656,0.865279495716095,+0.00038,,,per-token-ffn
2026-05-10,TAAC_poly,0.25543373823165894,0.8648014664649963,-0.00010,0.836481,-0.00622,per-token-ffn
2026-05-12,20260512_token_specific_q,0.2259176254272461,0.8686239719390869,+0.00026,0.841522,-0.00348,timestamp_features
2026-05-13,20260512_combined_timestamp,0.22628362476825714,0.8684326410293579,+0.00354,0.840990,-0.00171,per-token-ffn
2026-05-13,20260513_torch_compile,0.226283,0.867732,-0.00063,0.845137,+0.00013,timestamp-features
2026-05-13,20260513_amp_training,0.2258773148059845,0.8686180710792542,+0.00025,0.844924,-0.00008,timestamp_features
2026-05-14,20260513_time_split,0.279,0.837,-0.031,0.834474,-0.011,timestamp-features
2026-05-14,20260513_amp_torch_compile,0.225554,0.868484,+0.00011,0.839429,-0.00558,timestamp-features
2026-05-14,20260513_amp_torch_compile_default,0.225559,0.868464,+0.00010,0.840909,-0.00410,timestamp-features
2026-05-14,20260514_warmup_weight_decay,0.225739,0.869006,+0.00064,0.846467,+0.00146,timestamp-features
2026-05-15,20260514_muon-optimizer,0.233479,0.861106,-0.00726,0.822786,-0.02222,timestamp-features
2026-05-15,20260515_wd005_warmup500,0.227038,0.868146,+0.00025,0.846023,+0.00102,timestamp-features
